start,end,bus_num,time_ceiling,count
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:30:00,11
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:40:00,13
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 11:30:00,11
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 12:40:00,13
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 12:50:00,12
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 13:30:00,19
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 13:50:00,11
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 14:30:00,13
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 14:40:00,18
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 14:50:00,14
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 15:10:00,10
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 15:30:00,14
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 15:40:00,13
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 15:50:00,16
Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 16:50:00,12
LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 14:00:00,11
LT13 / Ventus,LT27 / S17,A1,1900-01-01 08:30:00,10
LT27 / S17,IT / CLB,A1,1900-01-01 10:40:00,10
